t,x,y,z,vx,vy,vz,phi1,phi2,phi3,omega1,omega2,omega3,alpha1,alpha2,alpha3,tau1,tau2,tau3,valid
1.654135338345864570e-01,3.000191399578351278e-02,7.576771772521181784e-05,-7.000502417161132973e-01,3.251414167854623535e-05,1.354924696895290145e-03,-8.983948460180389952e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.804511278195488622e-01,3.000243907739219562e-02,9.799228011734530065e-05,-7.000649776351015596e-01,3.730698041247264702e-05,1.604230952316137082e-03,-1.063660061045368973e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.954887218045112673e-01,3.000303514884178346e-02,1.241133557175254452e-04,-7.000822964297412909e-01,4.192717116145770837e-05,1.873106354860226523e-03,-1.241880318050082692e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.105263157894736725e-01,3.000369826168318779e-02,1.544227603452052067e-04,-7.001023912469563903e-01,4.619075936165214786e-05,2.161224510378380835e-03,-1.432834271235859094e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.255639097744360777e-01,3.000442151296035809e-02,1.892074191016851253e-04,-7.001254519140621690e-01,4.988855389924008060e-05,2.468261318826992824e-03,-1.636301758473736670e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.406015037593984829e-01,3.000519465711940989e-02,2.287493994396043462e-04,-7.001516649565653339e-01,5.278500129133786959e-05,2.793894775185856369e-03,-1.852063801302113351e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.556390977443608881e-01,3.000600370175587547e-02,2.733259408152589670e-04,-7.001812136159627498e-01,5.461716153660072138e-05,3.137804713238553402e-03,-2.079902604926748676e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.706766917293232932e-01,3.000683048870918593e-02,3.232094800278272496e-04,-7.002142778675416457e-01,5.509378301132936834e-05,3.499672487346438925e-03,-2.319601558220761844e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.857142857142856984e-01,3.000765226197512833e-02,3.786676712770740321e-04,-7.002510344381785989e-01,5.389447398637169318e-05,3.879180587448060984e-03,-2.570945233724631056e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.007518796992481036e-01,3.000844122387246252e-02,4.399633999004010716e-04,-7.002916568241396300e-01,5.066896856424727563e-05,4.276012182654808855e-03,-2.833719387646194392e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.157894736842105088e-01,3.000916408086853546e-02,5.073547886817702905e-04,-7.003363153088789650e-01,4.503648508501309922e-05,4.689850588988292782e-03,-3.107710959860651104e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.308270676691729140e-01,3.000978158044143376e-02,5.810951955595656171e-04,-7.003851769808391303e-01,3.658517532352559786e-05,5.120378657012934591e-03,-3.392708073910559886e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.458646616541353191e-01,3.001024804033316368e-02,6.614332014983599975e-04,-7.004384057512501593e-01,2.487166309977583930e-05,5.567278075356490302e-03,-3.688500037005840605e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.609022556390977243e-01,3.001051087153012997e-02,7.486125872312786398e-04,-7.004961623719293540e-01,9.420671247469854107e-06,6.030228586379759309e-03,-3.994877340023770401e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.759398496240601295e-01,3.001051009629381733e-02,8.428722975256299366e-04,-7.005586044530804912e-01,-1.027526376667345278e-05,6.508907110553225836e-03,-4.311631657508988892e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.909774436090225347e-01,3.001017786255665010e-02,9.444463915750885875e-04,-7.006258864810935849e-01,-3.475598991025337955e-05,7.002986776421230367e-03,-4.638555847673493833e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.060150375939849399e-01,3.000943795599603572e-02,1.053563978077421553e-03,-7.006981598363444252e-01,-6.459385028461905030e-05,7.512135853382810244e-03,-4.975443952396644588e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.210526315789473450e-01,3.000820531110329550e-02,1.170449133517838117e-03,-7.007755728109935633e-01,-1.003937059897411677e-04,8.036016584891473788e-03,-5.322091197225160830e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.360902255639097502e-01,3.000638552257449757e-02,1.295320802144942895e-03,-7.008582706267865170e-01,-1.427928702571703743e-04,8.574283920073619975e-03,-5.678293991373119937e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.511278195488721554e-01,3.000387435836708930e-02,1.428392676099355220e-03,-7.009463954528530882e-01,-1.924609525064352271e-04,9.126584142186708673e-03,-6.043849927721962195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
