t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,tx,ty,tz,nx,ny,nz,bx,by,bz,kappa,ftx,fty,ftz,fnx,fny,fnz,fx,fy,fz
0.0,0.0011756802305295572,0.0,0.0,0.09873888887329876,-3.0685754516512237e-168,0.0,4.0961885862621575e-14,-9.690778350744471e-165,0.0,-2.6735477629111996e-12,-6.171231892553209e-162,0.0,1.0,-3.1077678578992355e-167,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,4.0961885862621575e-14,-1.2730003228279243e-180,0.0,0.0,0.0,0.0,4.0961885862621575e-14,-9.690778350744471e-165,9.81
0.002032785480779562,0.0013763952102195055,-6.237755624793194e-171,0.0,0.09873888887329885,-2.2767848980497498e-167,0.0,3.552713678800501e-14,-2.2235568940450413e-164,0.0,-4.655022885035047e-12,3.583218806860046e-161,0.0,1.0,-2.305864410699726e-166,0.0,1.0,-7.923367784820658e-150,0.0,0.0,0.0,-7.923367784820658e-150,0.0,3.552713678800501e-14,-8.192076033352172e-180,0.0,3.552713678800501e-14,-2.8149457111299577e-163,0.0,3.552713678800501e-14,-2.2235568940450413e-164,9.81
0.006412079922392201,0.0018088018774333513,-2.917967474176542e-169,0.0,0.09873888887329886,-2.384971941587837e-166,0.0,-3.552713678800501e-15,5.3096343962201294e-163,0.0,-5.300969450500815e-12,1.4305991073461116e-159,0.0,1.0,-2.415433238921919e-165,0.0,0.0,0.987662190908847,0.0,-0.0,0.0,0.987662190908847,0.0,-3.552713678800501e-15,8.5813427081473e-180,-0.0,0.0,5.1794241258597256e-163,0.0,-3.552713678800501e-15,5.3096343962201294e-163,9.81
0.012465217143426044,0.002406481920835841,-3.18533222985035e-168,0.0,0.09873888887329879,7.830093075550489e-165,0.0,-5.329070518200751e-15,2.0103143397208503e-161,0.0,3.652619435940155e-13,1.833234810149834e-158,0.0,1.0,7.930100454743847e-164,0.0,-1.0,1.432700905415605e-146,0.0,0.0,-0.0,1.432700905415605e-146,2.309019609960822e-159,-5.329070518200751e-15,-4.226006453974581e-178,-0.0,-5.329070518200751e-15,7.634964156449825e-161,0.0,-5.329070518200751e-15,2.0103143397208503e-161,9.81
0.019520331353573003,0.003103096058819973,1.2037407600633607e-166,0.0,0.09873888887329882,3.040063192332462e-163,0.0,2.6645352591003757e-15,2.7359787394335385e-160,0.0,2.413607787104819e-13,-1.0135795015119976e-157,0.0,1.0,3.0788914347957206e-162,0.0,0.0,0.9999998612370186,0.0,0.0,0.0,0.9999998612370186,2.809043593038697e-158,2.6645352591003757e-15,8.203814786955343e-177,0.0,0.0,2.735977980128457e-160,0.0,2.6645352591003757e-15,2.7359787394335385e-160,9.81
0.027038504833933226,0.0038454321546274434,4.701219861607965e-165,0.0,0.09873888887329882,4.2165953755552524e-162,0.0,-2.6645352591003757e-15,-1.5883334967517799e-159,0.0,-1.3028701638414464e-13,-1.0201615511661877e-155,0.0,1.0,4.2704505019961924e-161,0.0,0.0,-1.0000000000927238,0.0,0.0,0.0,-1.0000000000927238,1.629127472655717e-157,-2.6645352591003757e-15,-1.1378765934811754e-175,-0.0,0.0,-1.5883334970463327e-159,0.0,-2.6645352591003757e-15,-1.5883334967517799e-159,9.81
0.03473228486794572,0.004605107446421407,6.554475148436304e-164,0.0,0.09873888887329876,-2.4606919556816346e-161,0.0,8.881784197001252e-16,-1.5844969225507648e-157,0.0,8.02536235709409e-13,-2.0082708762718837e-154,0.0,1.0,-2.4921203628685573e-160,0.0,0.0,-0.9999999999999698,0.0,0.0,0.0,-0.9999999999999698,1.6252303651125197e-155,8.881784197001252e-16,-2.2134475255950978e-175,0.0,0.0,-1.584496922550669e-157,0.0,8.881784197001252e-16,-1.5844969225507648e-157,9.81
0.04248352616015207,0.005370456399002696,-3.7910384444235464e-163,0.0,0.09873888887329885,-2.460887570340663e-159,0.0,9.769962616701378e-15,-3.124180925899145e-156,0.0,4.592316317907315e-13,-8.880312547465597e-154,0.0,1.0,-2.4923184759537443e-158,0.0,0.0,-0.9999999999999993,0.0,0.0,0.0,-0.9999999999999993,3.2044957883233224e-154,9.769962616701378e-15,-2.4349858338982234e-172,0.0,0.0,-3.1241809258991407e-156,0.0,9.769962616701378e-15,-3.124180925899145e-156,9.81
0.050249846994763175,0.006137294288845747,-3.8193989565145556e-161,0.0,0.0987388888732989,-4.85891041460732e-158,0.0,7.993605777301127e-15,-1.395378761583014e-155,0.0,-1.0287743666586053e-12,6.76169265028101e-152,0.0,1.0,-4.920969306067685e-157,0.0,1.0,-9.944516514742108e-141,0.0,0.0,0.0,-9.944516514742108e-141,1.4312504527502605e-153,7.993605777301127e-15,-3.933628867490416e-171,0.0,7.993605777301127e-15,-7.949254466470899e-155,0.0,7.993605777301127e-15,-1.395378761583014e-155,9.81
0.05801906910882609,0.006904418647798181,-7.554909535080204e-160,0.0,0.09873888887329896,-2.1928706631981905e-157,0.0,-6.217248937900877e-15,1.0477420020859017e-153,0.0,-1.4289878918833706e-12,1.9522163486592222e-150,0.0,1.0,-2.2208784079108553e-156,0.0,1.0,7.46699600838977e-139,0.0,-0.0,0.0,7.46699600838977e-139,1.0746768233373864e-151,-6.217248937900877e-15,1.3807753922790755e-170,-0.0,-6.217248937900877e-15,-4.6424173002471384e-153,-0.0,-6.217248937900877e-15,1.0477420020859017e-153,9.81
